,Avg_Score
2021-01-12,-0.10229999999999999
2021-01-11,-0.032595
2021-01-10,-0.13057999999999997
2021-01-09,-0.312025
2021-01-08,-0.09433
2021-01-07,-0.18351499999999998
2021-01-06,-0.060325000000000004
2021-01-05,-0.164265
2021-01-04,0.048975000000000005
2021-01-03,-0.0063900000000000024
2021-01-02,0.11498
2021-01-01,-0.020694999999999998
2020-12-31,0.031869999999999996
2020-12-30,0.14828000000000002
2020-12-29,-0.009610000000000002
2020-12-28,-0.022039999999999997
2020-12-27,-0.191605
2020-12-26,-0.065525
2020-12-25,0.11825
2020-12-24,-0.10886000000000003
2020-12-23,-0.11852500000000003
2020-12-22,-0.07148
2020-12-21,0.08319
2020-12-20,-0.050295
2020-12-19,-0.056474999999999984
2020-12-18,-0.14883000000000002
2020-12-17,-0.11367500000000001
2020-12-16,-0.20264500000000002
2020-12-15,-0.25347
2020-12-14,0.06423999999999999
2020-12-13,-0.18131499999999998
