Date,etf_iwm_social_close,Excessive Optimism: 0.75,Excessive Pessimism: 2.0
10/13/2020,1.075,0,0
10/14/2020,1.2353,0,0
10/15/2020,1.3281,0,0
10/16/2020,1.1944,0,0
10/19/2020,1.4359,0,0
10/20/2020,1.1316,0,0
10/21/2020,1.2581,0,0
10/22/2020,0.6984,1,0
10/23/2020,0.6923,1,0
10/26/2020,1.1132,0,0
10/27/2020,1.2647,0,0
10/28/2020,1.1379,0,0
10/29/2020,1.2632,0,0
10/30/2020,0.8372,0,0
11/2/2020,0.875,0,0
11/3/2020,0.875,0,0
11/4/2020,1.04,0,0
11/5/2020,0.7593,0,0
11/6/2020,0.7073,1,0
11/9/2020,0.9167,0,0
11/10/2020,0.8378,0,0
11/11/2020,0.7971,0,0
11/12/2020,1.0638,0,0
11/13/2020,1.2041,0,0
11/16/2020,0.9571,0,0
11/17/2020,0.8,0,0
11/18/2020,0.9216,0,0
11/19/2020,0.6522,1,0
11/20/2020,0.6304,1,0
11/23/2020,0.6625,1,0
11/24/2020,0.809,0,0
11/25/2020,0.6406,1,0
11/26/2020,1.2727,0,0
11/27/2020,0.6667,1,0
11/30/2020,1,0,0
12/1/2020,0.8545,0,0
12/2/2020,0.5286,1,0
12/3/2020,0.65,1,0
12/4/2020,0.6582,1,0
12/7/2020,1.0278,0,0
12/8/2020,0.6818,1,0
12/9/2020,1.303,0,0
12/10/2020,1.2609,0,0
12/11/2020,0.9636,0,0
12/14/2020,0.7903,0,0
12/15/2020,0.8144,0,0
12/16/2020,0.7945,0,0
12/17/2020,0.8205,0,0
12/18/2020,1.1429,0,0
12/21/2020,1.0235,0,0
12/22/2020,1.4182,0,0
12/23/2020,1.058,0,0
12/24/2020,1.303,0,0
12/25/2020,1.1667,0,0
12/28/2020,1.0704,0,0
12/29/2020,1.8158,0,0
12/30/2020,0.8784,0,0
12/31/2020,1.3,0,0
1/1/2021,1.4286,0,0
1/4/2021,1.5625,0,0
1/5/2021,1.05,0,0
1/6/2021,0.8081,0,0
1/7/2021,0.8243,0,0
1/8/2021,0.8462,0,0
1/11/2021,0.8,0,0
