Date,etf_qqq_social_close,Excessive Optimism: 0.9,Excessive Pessimism: 2.5
10/13/2020,0.9649,0,0
10/14/2020,1.0365,0,0
10/15/2020,1.1972,0,0
10/16/2020,1.045,0,0
10/19/2020,1.1,0,0
10/20/2020,1.2523,0,0
10/21/2020,0.9583,0,0
10/22/2020,1.0411,0,0
10/23/2020,1.063,0,0
10/26/2020,1.4355,0,0
10/27/2020,1.0833,0,0
10/28/2020,1.5,0,0
10/29/2020,1.3689,0,0
10/30/2020,1.3237,0,0
11/2/2020,1.2752,0,0
11/3/2020,0.8897,1,0
11/4/2020,0.7917,1,0
11/5/2020,0.6946,1,0
11/6/2020,0.8138,1,0
11/9/2020,0.9956,0,0
11/10/2020,1.234,0,0
11/11/2020,0.6918,1,0
11/12/2020,0.9439,0,0
11/13/2020,0.9394,0,0
11/16/2020,0.973,0,0
11/17/2020,0.8839,1,0
11/18/2020,1,0,0
11/19/2020,1.0899,0,0
11/20/2020,1.0682,0,0
11/23/2020,0.894,1,0
11/24/2020,1.066,0,0
11/25/2020,0.8571,1,0
11/26/2020,3.8864,0,1
11/27/2020,0.5955,1,0
11/30/2020,0.913,0,0
12/1/2020,0.3855,1,0
12/2/2020,0.4899,1,0
12/3/2020,0.6993,1,0
12/4/2020,0.7054,1,0
12/7/2020,0.6964,1,0
12/8/2020,0.8438,1,0
12/9/2020,1.0629,0,0
12/10/2020,0.8784,1,0
12/11/2020,1.369,0,0
12/14/2020,0.6544,1,0
12/15/2020,0.7317,1,0
12/16/2020,0.5865,1,0
12/17/2020,0.5772,1,0
12/18/2020,0.6221,1,0
12/21/2020,0.8652,1,0
12/22/2020,0.7481,1,0
12/23/2020,0.8958,1,0
12/24/2020,1.2727,0,0
12/25/2020,1.4667,0,0
12/28/2020,0.7459,1,0
12/29/2020,6.6222,0,1
12/30/2020,1.0102,0,0
12/31/2020,1.0471,0,0
1/1/2021,0.6429,1,0
1/4/2021,1.0542,0,0
1/5/2021,0.875,1,0
1/6/2021,0.5917,1,0
1/7/2021,0.52,1,0
1/8/2021,0.572,1,0
1/11/2021,0.675,1,0
