Date,etf_spy_social_close,Excessive Optimism: 0.75,Excessive Pessimism: 1.25
10/13/2020,1.0455,0,0
10/14/2020,1.1084,0,0
10/15/2020,0.8884,0,0
10/16/2020,0.868,0,0
10/19/2020,1.0912,0,0
10/20/2020,1.0185,0,0
10/21/2020,0.9704,0,0
10/22/2020,0.9965,0,0
10/23/2020,1.0059,0,0
10/26/2020,1.0382,0,0
10/27/2020,1.03,0,0
10/28/2020,1.0585,0,0
10/29/2020,1.0979,0,0
10/30/2020,1.0425,0,0
11/2/2020,0.9436,0,0
11/3/2020,0.8263,0,0
11/4/2020,0.9409,0,0
11/5/2020,0.8046,0,0
11/6/2020,0.9829,0,0
11/9/2020,0.9405,0,0
11/10/2020,0.8407,0,0
11/11/2020,0.7969,0,0
11/12/2020,1.0034,0,0
11/13/2020,0.7463,1,0
11/16/2020,0.907,0,0
11/17/2020,0.7996,0,0
11/18/2020,0.8468,0,0
11/19/2020,0.836,0,0
11/20/2020,0.8848,0,0
11/23/2020,0.8495,0,0
11/24/2020,0.7159,1,0
11/25/2020,0.9544,0,0
11/26/2020,1.8483,0,1
11/27/2020,0.9029,0,0
11/30/2020,0.9065,0,0
12/1/2020,0.6687,1,0
12/2/2020,0.6258,1,0
12/3/2020,0.7535,0,0
12/4/2020,0.7576,0,0
12/7/2020,1.2661,0,1
12/8/2020,0.8797,0,0
12/9/2020,0.8891,0,0
12/10/2020,0.9848,0,0
12/11/2020,1.0714,0,0
12/14/2020,0.7555,0,0
12/15/2020,0.676,1,0
12/16/2020,0.6486,1,0
12/17/2020,0.7387,1,0
12/18/2020,0.9073,0,0
12/21/2020,0.9704,0,0
12/22/2020,0.9782,0,0
12/23/2020,0.6984,1,0
12/24/2020,0.8543,0,0
12/25/2020,0.7889,0,0
12/28/2020,0.5996,1,0
12/29/2020,1.0859,0,0
12/30/2020,0.8688,0,0
12/31/2020,0.5899,1,0
1/1/2021,0.6,1,0
1/4/2021,0.8838,0,0
1/5/2021,0.9266,0,0
1/6/2021,0.7411,1,0
1/7/2021,0.633,1,0
1/8/2021,0.7533,0,0
1/11/2021,1.3207,0,1
