Date,etf_uso_social_close,Excessive Optimism: 0.5 ,Excessive Pessimism: 2.25
10/13/2020,1.2308,0,0
10/14/2020,1.0909,0,0
10/15/2020,0.5333,0,0
10/16/2020,1.4,0,0
10/19/2020,0.9091,0,0
10/20/2020,1.625,0,0
10/21/2020,1.8571,0,0
10/22/2020,0.3333,1,0
10/23/2020,1.8889,0,0
10/26/2020,1.75,0,0
10/27/2020,1.8,0,0
10/28/2020,3.75,0,1
10/29/2020,2.625,0,1
10/30/2020,1.25,0,0
11/2/2020,1.0714,0,0
11/3/2020,1,0,0
11/4/2020,1.1667,0,0
11/5/2020,1.5,0,0
11/6/2020,0.2727,1,0
11/9/2020,0.9412,0,0
11/10/2020,0.8667,0,0
11/11/2020,1.2308,0,0
11/12/2020,1.6667,0,0
11/13/2020,0.6667,0,0
11/16/2020,1.4,0,0
11/17/2020,0.25,1,0
11/18/2020,1,0,0
11/19/2020,0.7143,0,0
11/20/2020,0.2857,1,0
11/23/2020,0.4286,1,0
11/24/2020,0.625,0,0
11/25/2020,0.48,1,0
11/26/2020,0.6,0,0
11/27/2020,2.5,0,1
11/30/2020,1.1818,0,0
12/1/2020,0.625,0,0
12/2/2020,1.4,0,0
12/3/2020,0.3077,1,0
12/4/2020,0.4118,1,0
12/7/2020,0.25,1,0
12/8/2020,0.7778,0,0
12/9/2020,1.5714,0,0
12/10/2020,0.3636,1,0
12/11/2020,0.5385,0,0
12/14/2020,0.5333,0,0
12/15/2020,1.2857,0,0
12/16/2020,0.7,0,0
12/17/2020,1.0833,0,0
12/18/2020,1.25,0,0
12/21/2020,3.6,0,1
12/22/2020,0.3333,1,0
12/23/2020,1.1667,0,0
12/24/2020,1.3333,0,0
12/25/2020,1,0,0
12/28/2020,0.1818,1,0
12/29/2020,0.5556,0,0
12/30/2020,0.5385,0,0
12/31/2020,0.8182,0,0
1/1/2021,1.5,0,0
1/4/2021,1.8,0,0
1/5/2021,1,0,0
1/6/2021,0.8333,0,0
1/7/2021,0.7,0,0
1/8/2021,0.5,0,0
1/11/2021,0.5333,0,0
